state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
CT,8/28/2020,0,0,176,52,1,0
DC,8/28/2020,2,2,129,97,9,3
DE,8/28/2020,1,1,88,73,1,0
FL,8/28/2020,10,20,"4,813","4,371",523,38
GA,8/28/2020,44,44,"1,752","1,377",71,17
HI,8/28/2020,4,4,262,247,4,3
IA,8/28/2020,6,7,355,342,6,4
ID,8/28/2020,7,5,162,134,11,10
IL,8/28/2020,19,22,"1,543",861,80,27
IN,8/28/2020,19,19,834,514,10,3
KS,8/28/2020,19,25,298,208,1,0
KY,8/28/2020,2,5,578,430,12,2
LA,8/28/2020,37,44,775,"1,243",4,5
MA,8/28/2020,5,5,251,124,5,2
MD,8/28/2020,6,6,646,365,12,4
ME,8/28/2020,2,3,30,11,0,0
MI,8/28/2020,4,7,625,413,13,5
MN,8/28/2020,12,15,478,320,15,5
MO,8/28/2020,38,44,878,715,18,15
MS,8/28/2020,31,37,674,623,4,3
MT,8/28/2020,7,11,94,85,1,0
NC,8/28/2020,1,3,853,606,20,5
ND,8/28/2020,13,13,116,95,2,0
NE,8/28/2020,10,13,172,131,54,47
NH,8/28/2020,2,6,36,8,0,0
NJ,8/28/2020,10,10,653,92,3,2
NM,8/28/2020,10,12,84,56,7,2
NV,8/28/2020,4,7,718,627,17,1
NY,8/28/2020,8,7,"1,409",512,55,21
OH,8/28/2020,7,9,"1,401",807,30,9
OK,8/28/2020,33,44,535,511,19,15
OR,8/28/2020,2,4,181,115,4,2
PA,8/28/2020,21,23,"1,035",551,23,9
PR,8/28/2020,7,8,393,227,24,7
RI,8/28/2020,2,2,75,71,0,0
SC,8/28/2020,43,46,929,784,13,8
SD,8/28/2020,6,9,66,60,23,23
TN,8/28/2020,23,22,"1,037",899,12,8
TX,8/28/2020,98,116,"5,385","4,417",69,42
UT,8/28/2020,3,5,146,117,8,5
VA,8/28/2020,12,16,905,618,4,2
VI,8/28/2020,1,1,10,10,0,0
VT,8/28/2020,2,1,3,1,0,0
WA,8/28/2020,16,17,434,326,6,1
WI,8/28/2020,10,6,519,341,2,1
WV,8/28/2020,8,9,216,158,0,0
WY,8/28/2020,2,2,26,15,1,0
AK,8/27/2020,1,1,35,29,1,1
AL,8/27/2020,35,37,"1,284","1,074",11,6
AR,8/27/2020,28,27,543,392,9,4
AZ,8/27/2020,23,24,855,663,16,8
CA,8/27/2020,80,105,"5,979","4,859",61,34
CO,8/27/2020,6,6,249,161,9,2
CT,8/27/2020,0,0,170,61,0,0
DC,8/27/2020,2,2,125,103,6,0
DE,8/27/2020,0,0,84,68,1,0
FL,8/27/2020,9,21,"5,054","4,618",676,43
GA,8/27/2020,45,44,"1,770","1,398",82,21
HI,8/27/2020,4,4,259,243,4,4
IA,8/27/2020,6,7,345,300,9,4
ID,8/27/2020,8,5,160,144,3,2
IL,8/27/2020,17,21,"1,539",861,82,24
IN,8/27/2020,19,18,830,544,16,5
KS,8/27/2020,17,22,311,216,2,0
KY,8/27/2020,1,5,582,415,13,3
LA,8/27/2020,38,43,746,"1,212",17,2
MA,8/27/2020,5,5,252,126,13,3
MD,8/27/2020,6,6,691,379,10,4
ME,8/27/2020,2,3,30,10,0,0
MI,8/27/2020,4,7,644,444,9,6
MN,8/27/2020,8,11,487,309,9,3
MO,8/27/2020,25,30,947,722,32,15
MS,8/27/2020,32,38,676,628,2,1
MT,8/27/2020,8,9,87,80,0,0
NC,8/27/2020,1,11,"1,324",878,12,4
ND,8/27/2020,14,14,112,94,5,0
NE,8/27/2020,10,12,148,116,71,52
NH,8/27/2020,2,5,33,9,0,0
NJ,8/27/2020,10,10,650,92,3,2
NM,8/27/2020,10,12,101,64,9,1
NV,8/27/2020,6,8,766,640,6,1
NY,8/27/2020,8,7,"1,472",524,60,20
OH,8/27/2020,12,13,"1,388",797,26,10
OK,8/27/2020,29,37,549,523,8,4
OR,8/27/2020,3,6,165,110,7,2
PA,8/27/2020,20,23,988,557,46,15
PR,8/27/2020,7,8,383,229,29,4
RI,8/27/2020,2,2,84,80,2,2
SC,8/27/2020,43,46,963,785,8,5
SD,8/27/2020,6,8,58,56,23,23
TN,8/27/2020,23,22,"1,050",904,12,8
TX,8/27/2020,98,116,"5,537","4,604",68,44
UT,8/27/2020,3,6,160,128,7,5
VA,8/27/2020,11,15,902,624,12,10
VI,8/27/2020,1,1,9,9,0,0
VT,8/27/2020,2,1,13,2,0,0
WA,8/27/2020,14,19,458,335,5,2
WI,8/27/2020,9,6,483,327,11,2
WV,8/27/2020,8,9,218,144,3,0
WY,8/27/2020,2,2,17,15,0,0
AK,8/26/2020,1,1,47,31,2,2
AL,8/26/2020,36,38,"1,282","1,105",14,7
AR,8/26/2020,27,29,567,413,13,3
AZ,8/26/2020,23,24,879,695,18,7
CA,8/26/2020,83,105,"5,616","4,473",92,45
CO,8/26/2020,6,6,248,167,15,2
CT,8/26/2020,0,0,162,59,5,1
DC,8/26/2020,2,2,119,102,12,2
DE,8/26/2020,0,0,77,65,1,0
FL,8/26/2020,9,20,"5,221","4,797",746,45
GA,8/26/2020,44,45,"1,841","1,509",79,20
HI,8/26/2020,4,4,284,264,5,4
IA,8/26/2020,6,6,360,302,4,2
ID,8/26/2020,7,5,173,151,2,2
IL,8/26/2020,18,20,"1,536",878,76,9
IN,8/26/2020,17,17,846,526,17,3
KS,8/26/2020,17,21,292,207,0,0
KY,8/26/2020,2,4,585,422,19,5
LA,8/26/2020,38,42,808,"1,250",19,2
MA,8/26/2020,5,5,267,129,13,4
MD,8/26/2020,7,8,736,399,8,4
ME,8/26/2020,2,3,38,9,3,0
MI,8/26/2020,5,7,682,446,10,6
MN,8/26/2020,8,11,488,313,11,3
MO,8/26/2020,22,29,925,726,21,11
MS,8/26/2020,32,38,695,657,3,0
MT,8/26/2020,8,9,91,81,0,0
NC,8/26/2020,2,11,"1,377",915,14,3
ND,8/26/2020,13,13,102,85,4,0
NE,8/26/2020,10,12,145,109,64,48
NH,8/26/2020,3,5,37,9,1,0
NJ,8/26/2020,9,9,673,99,2,0
NM,8/26/2020,12,12,107,67,4,1
NV,8/26/2020,8,10,811,670,6,1
NY,8/26/2020,8,7,"1,544",532,45,15
OH,8/26/2020,10,11,"1,372",789,18,3
OK,8/26/2020,27,35,520,496,11,7
OR,8/26/2020,3,4,179,102,9,1
PA,8/26/2020,21,25,"1,091",558,31,14
PR,8/26/2020,7,8,381,230,24,1
RI,8/26/2020,2,2,82,81,2,2
SC,8/26/2020,43,46,"1,000",830,5,5
SD,8/26/2020,7,8,59,53,21,19
TN,8/26/2020,23,24,"1,089",950,11,5
TX,8/26/2020,99,117,"5,705","4,691",65,45
UT,8/26/2020,4,5,148,132,5,5
VA,8/26/2020,11,15,961,656,10,4
VI,8/26/2020,1,1,10,10,0,0
VT,8/26/2020,2,1,5,1,0,0
WA,8/26/2020,15,20,460,321,11,3
WI,8/26/2020,8,6,574,356,8,1
WV,8/26/2020,9,9,238,157,0,0
WY,8/26/2020,2,2,17,14,0,0
AK,8/25/2020,1,1,45,29,2,2
AL,8/25/2020,31,35,"1,364","1,148",13,11
AR,8/25/2020,29,28,561,411,8,5
AZ,8/25/2020,23,24,930,746,18,8
CA,8/25/2020,79,101,"5,780","4,621",101,50
CO,8/25/2020,5,6,249,151,15,3
CT,8/25/2020,0,0,172,59,6,0
DC,8/25/2020,2,2,123,100,7,2
DE,8/25/2020,1,1,70,57,1,0
FL,8/25/2020,9,19,"5,399","4,952",708,41
GA,8/25/2020,43,47,"1,938","1,577",97,34
HI,8/25/2020,4,4,275,262,4,3
IA,8/25/2020,7,7,350,310,5,3
ID,8/25/2020,6,4,160,152,1,1
IL,8/25/2020,18,19,"1,525",873,69,8
IN,8/25/2020,14,16,904,537,21,4
KS,8/25/2020,18,23,281,197,1,1
KY,8/25/2020,2,4,623,428,23,5
LA,8/25/2020,38,42,832,"1,256",13,1
MA,8/25/2020,5,5,284,119,11,3
MD,8/25/2020,6,7,750,396,5,4
ME,8/25/2020,2,3,44,10,0,0
MI,8/25/2020,4,7,695,454,12,8
MN,8/25/2020,7,10,472,313,10,5
MO,8/25/2020,21,30,941,712,27,11
MS,8/25/2020,30,38,723,677,7,1
MT,8/25/2020,5,6,84,80,1,0
NC,8/25/2020,1,8,"1,408",926,11,3
ND,8/25/2020,13,11,95,83,4,0
NE,8/25/2020,10,12,147,111,65,53
NH,8/25/2020,2,5,32,8,0,0
NJ,8/25/2020,11,11,641,90,2,5
NM,8/25/2020,12,12,109,62,3,2
NV,8/25/2020,5,8,820,677,4,1
NY,8/25/2020,8,6,"1,481",541,56,15
OH,8/25/2020,10,11,"1,342",788,36,7
OK,8/25/2020,21,26,541,496,1,0
OR,8/25/2020,3,4,178,106,7,3
PA,8/25/2020,20,26,"1,042",583,40,18
PR,8/25/2020,7,8,376,229,24,1
RI,8/25/2020,1,1,89,85,3,2
SC,8/25/2020,43,46,"1,034",840,9,3
SD,8/25/2020,7,8,52,49,18,18
TN,8/25/2020,22,23,"1,096",939,17,8
TX,8/25/2020,104,125,"6,052","4,996",67,45
UT,8/25/2020,3,6,135,125,7,7
VA,8/25/2020,10,15,967,664,11,8
VI,8/25/2020,1,1,10,10,0,0
VT,8/25/2020,2,1,6,1,1,0
WA,8/25/2020,12,18,445,319,9,2
WI,8/25/2020,8,6,637,394,10,3
WV,8/25/2020,9,9,223,153,2,0
WY,8/25/2020,2,2,33,16,0,0
AK,8/24/2020,0,0,48,32,2,2
AL,8/24/2020,35,37,"1,373","1,170",16,12
AR,8/24/2020,29,30,549,419,18,16
AZ,8/24/2020,24,25,977,797,8,5
CA,8/24/2020,90,107,"5,823","4,628",97,57
CO,8/24/2020,4,5,229,159,15,3
CT,8/24/2020,0,0,173,59,4,0
DC,8/24/2020,2,2,130,103,14,5
DE,8/24/2020,1,1,64,44,0,0
FL,8/24/2020,8,19,"5,477","5,065",591,44
GA,8/24/2020,43,47,"2,077","1,651",95,30
HI,8/24/2020,2,3,261,242,6,4
IA,8/24/2020,7,7,329,291,4,3
ID,8/24/2020,7,4,169,149,1,1
IL,8/24/2020,18,18,"1,485",820,55,6
IN,8/24/2020,14,17,954,525,9,1
KS,8/24/2020,17,23,276,197,2,2
KY,8/24/2020,1,3,608,448,19,2
LA,8/24/2020,38,43,815,"1,262",20,5
MA,8/24/2020,5,5,273,122,12,4
MD,8/24/2020,7,7,673,381,8,5
ME,8/24/2020,3,4,30,9,3,0
MI,8/24/2020,5,6,644,446,16,8
MN,8/24/2020,7,10,486,318,11,4
MO,8/24/2020,23,30,854,674,20,13
MS,8/24/2020,32,40,756,701,7,0
MT,8/24/2020,8,9,78,70,0,0
NC,8/24/2020,1,10,"1,353",909,15,3
ND,8/24/2020,12,11,91,70,5,0
NE,8/24/2020,10,12,129,107,61,43
NH,8/24/2020,3,5,39,9,1,0
NJ,8/24/2020,10,9,629,95,3,0
NM,8/24/2020,12,12,95,62,4,2
NV,8/24/2020,7,9,842,725,2,2
NY,8/24/2020,7,5,"1,424",531,73,14
OH,8/24/2020,10,11,"1,331",817,16,7
OK,8/24/2020,19,25,515,488,8,5
OR,8/24/2020,3,5,134,77,11,5
PA,8/24/2020,20,25,974,561,78,59
PR,8/24/2020,6,7,349,230,23,1
RI,8/24/2020,1,1,88,82,2,2
SC,8/24/2020,43,46,"1,021",882,7,2
SD,8/24/2020,7,8,51,47,16,15
TN,8/24/2020,24,23,"1,120",972,13,8
TX,8/24/2020,103,123,"6,167","5,131",70,56
UT,8/24/2020,3,6,139,130,7,6
VA,8/24/2020,11,15,944,648,10,5
VI,8/24/2020,1,1,10,10,0,0
VT,8/24/2020,1,1,5,1,0,0
WA,8/24/2020,14,19,291,226,3,2
WI,8/24/2020,9,6,620,387,5,1
WV,8/24/2020,9,10,236,151,1,0
WY,8/24/2020,2,2,33,20,0,0
AK,8/23/2020,1,1,44,32,2,2
AL,8/23/2020,34,38,"1,345","1,126",21,8
AR,8/23/2020,25,23,633,443,7,3
AZ,8/23/2020,23,24,962,825,24,11
CA,8/23/2020,90,106,"5,752","4,605",129,76
CO,8/23/2020,3,5,273,200,68,59
CT,8/23/2020,0,0,137,56,2,0
DC,8/23/2020,0,0,131,101,19,6
DE,8/23/2020,1,1,76,44,0,0
FL,8/23/2020,8,18,"5,420","4,975",615,43
GA,8/23/2020,45,46,"2,070","1,652",111,29
HI,8/23/2020,1,1,230,210,4,3
IA,8/23/2020,9,7,312,271,5,3
ID,8/23/2020,8,5,180,149,2,2
IL,8/23/2020,16,18,"1,533",797,58,9
IN,8/23/2020,12,16,866,480,17,2
KS,8/23/2020,20,26,267,190,3,2
KY,8/23/2020,1,2,563,437,18,3
LA,8/23/2020,38,44,806,"1,263",13,3
MA,8/23/2020,5,5,257,107,5,2
MD,8/23/2020,10,9,651,401,6,2
ME,8/23/2020,3,4,34,8,2,0
MI,8/23/2020,3,6,635,423,14,5
MN,8/23/2020,6,11,452,300,13,5
MO,8/23/2020,20,27,831,677,23,10
MS,8/23/2020,32,40,754,703,5,0
MT,8/23/2020,7,9,64,63,0,0
NC,8/23/2020,1,9,"1,455",934,1,0
ND,8/23/2020,11,13,84,68,2,0
NE,8/23/2020,11,14,138,115,46,37
NH,8/23/2020,4,5,27,11,0,0
NJ,8/23/2020,10,12,696,145,2,0
NM,8/23/2020,11,12,92,63,7,2
NV,8/23/2020,6,9,838,713,4,2
NY,8/23/2020,6,6,"1,343",514,55,15
OH,8/23/2020,8,10,"1,406",784,15,7
OK,8/23/2020,17,25,513,488,17,12
OR,8/23/2020,3,3,134,80,10,6
PA,8/23/2020,20,24,951,545,81,57
PR,8/23/2020,6,7,363,241,16,2
RI,8/23/2020,2,2,81,79,1,1
SC,8/23/2020,43,47,973,861,6,5
SD,8/23/2020,6,8,52,47,13,13
TN,8/23/2020,22,22,"1,085",945,12,7
TX,8/23/2020,103,123,"6,252","5,212",88,65
UT,8/23/2020,4,6,151,143,7,7
VA,8/23/2020,10,15,900,634,7,5
VI,8/23/2020,1,1,9,9,0,0
VT,8/23/2020,2,1,5,1,2,0
WA,8/23/2020,12,16,284,226,4,2
WI,8/23/2020,10,7,596,370,4,1
WV,8/23/2020,8,10,221,153,1,0
WY,8/23/2020,2,2,27,19,0,0
AK,8/22/2020,1,1,37,30,2,2
AL,8/22/2020,33,38,"1,324","1,103",17,8
AR,8/22/2020,25,24,710,457,8,3
AZ,8/22/2020,23,24,"1,009",828,7,6
CA,8/22/2020,93,108,"5,805","4,687",130,79
CO,8/22/2020,3,5,279,199,68,56
CT,8/22/2020,0,0,164,53,0,0
DC,8/22/2020,0,0,120,100,17,7
DE,8/22/2020,1,1,77,50,0,0
FL,8/22/2020,7,17,"5,466","4,982",597,40
GA,8/22/2020,43,45,"2,059","1,623",95,28
HI,8/22/2020,1,1,217,201,3,1
IA,8/22/2020,8,8,296,256,6,3
ID,8/22/2020,6,5,172,154,1,1
IL,8/22/2020,17,18,"1,447",795,65,12
IN,8/22/2020,13,16,848,480,19,4
KS,8/22/2020,21,26,265,189,3,2
KY,8/22/2020,1,3,575,421,24,5
LA,8/22/2020,39,44,824,"1,281",14,5
MA,8/22/2020,5,5,265,111,11,3
MD,8/22/2020,9,8,767,411,6,2
ME,8/22/2020,3,4,33,7,0,0
MI,8/22/2020,4,6,630,394,12,5
MN,8/22/2020,6,11,460,296,13,4
MO,8/22/2020,20,28,870,678,24,10
MS,8/22/2020,30,40,754,699,5,0
MT,8/22/2020,7,9,64,63,0,0
NC,8/22/2020,3,10,"1,261",897,22,6
ND,8/22/2020,11,12,79,69,1,0
NE,8/22/2020,10,13,127,99,42,39
NH,8/22/2020,3,5,32,11,0,0
NJ,8/22/2020,8,8,663,154,3,2
NM,8/22/2020,13,12,94,59,6,1
NV,8/22/2020,6,9,837,721,5,2
NY,8/22/2020,6,6,"1,346",510,60,13
OH,8/22/2020,9,10,"1,381",804,16,4
OK,8/22/2020,19,26,531,497,10,5
OR,8/22/2020,4,4,160,88,11,6
PA,8/22/2020,20,23,981,547,76,52
PR,8/22/2020,6,6,382,256,27,3
RI,8/22/2020,1,1,90,84,1,1
SC,8/22/2020,43,47,"1,026",878,4,3
SD,8/22/2020,6,8,57,48,13,13
TN,8/22/2020,21,21,"1,057",951,13,7
TX,8/22/2020,104,126,"6,559","5,449",96,74
UT,8/22/2020,4,5,159,145,9,7
VA,8/22/2020,10,15,912,626,3,3
VI,8/22/2020,1,1,9,9,0,0
VT,8/22/2020,2,1,9,2,3,0
WA,8/22/2020,15,19,312,241,3,2
WI,8/22/2020,10,7,599,367,1,1
WV,8/22/2020,9,10,204,152,1,0
WY,8/22/2020,2,2,22,15,0,0
AK,8/21/2020,1,1,39,33,2,2
AL,8/21/2020,33,38,"1,394","1,197",11,8
AR,8/21/2020,25,27,715,478,7,4
AZ,8/21/2020,24,24,"1,092",887,27,20
CA,8/21/2020,90,107,"6,055","4,842",114,51
CO,8/21/2020,4,7,287,208,74,65
CT,8/21/2020,0,0,178,65,2,0
DC,8/21/2020,2,2,118,99,13,6
DE,8/21/2020,1,1,72,44,0,0
FL,8/21/2020,9,9,"5,766","5,345",642,41
GA,8/21/2020,46,44,"2,144","1,683",81,20
HI,8/21/2020,2,2,223,194,6,1
IA,8/21/2020,8,7,319,266,6,2
ID,8/21/2020,6,6,190,165,1,1
IL,8/21/2020,17,19,"1,454",791,51,12
IN,8/21/2020,20,19,849,506,18,4
KS,8/21/2020,22,26,270,194,1,0
KY,8/21/2020,1,3,635,447,17,3
LA,8/21/2020,39,44,920,"1,365",20,5
MA,8/21/2020,5,5,269,119,10,5
MD,8/21/2020,8,6,788,430,5,2
ME,8/21/2020,3,4,33,9,0,0
MI,8/21/2020,4,6,642,411,8,6
MN,8/21/2020,7,9,435,277,17,5
MO,8/21/2020,20,30,850,680,26,11
MS,8/21/2020,31,40,785,739,9,4
MT,8/21/2020,7,9,63,64,0,0
NC,8/21/2020,2,10,"1,347",948,19,7
ND,8/21/2020,12,13,89,71,2,1
NE,8/21/2020,12,15,115,95,45,43
NH,8/21/2020,4,4,42,14,0,0
NJ,8/21/2020,10,10,189,246,1,0
NM,8/21/2020,11,10,97,70,6,1
NV,8/21/2020,8,11,891,743,5,2
NY,8/21/2020,7,6,"1,395",518,58,18
OH,8/21/2020,11,12,"1,463",853,27,19
OK,8/21/2020,17,26,578,522,8,5
OR,8/21/2020,4,5,165,96,9,5
PA,8/21/2020,21,23,987,554,84,50
PR,8/21/2020,7,7,365,271,36,3
RI,8/21/2020,2,2,91,82,1,1
SC,8/21/2020,43,47,"1,012",873,10,7
SD,8/21/2020,6,8,58,51,15,14
TN,8/21/2020,22,21,"1,144","1,002",13,8
TX,8/21/2020,109,127,"6,087","5,026",89,71
UT,8/21/2020,5,6,142,130,8,8
VA,8/21/2020,11,12,965,666,9,4
VI,8/21/2020,1,1,8,8,0,0
VT,8/21/2020,2,1,6,1,1,0
WA,8/21/2020,13,17,307,235,7,6
WI,8/21/2020,9,7,614,392,3,1
WV,8/21/2020,10,10,224,150,0,0
WY,8/21/2020,3,3,35,20,0,0
AK,8/20/2020,1,1,46,35,3,2
AL,8/20/2020,28,35,"1,398","1,195",19,11
AR,8/20/2020,27,27,707,467,15,8
AZ,8/20/2020,22,24,"1,075",900,20,12
CA,8/20/2020,86,109,"6,451","5,125",76,39
CO,8/20/2020,4,7,240,155,13,4
CT,8/20/2020,0,0,161,56,8,0
DC,8/20/2020,2,1,124,90,16,7
DE,8/20/2020,1,1,68,48,0,0
FL,8/20/2020,10,10,"5,972","5,527",773,54
GA,8/20/2020,43,44,"2,193","1,756",84,22
HI,8/20/2020,2,2,215,197,7,1
IA,8/20/2020,7,8,345,289,6,3
ID,8/20/2020,6,6,197,175,3,2
IL,8/20/2020,17,21,"1,488",793,43,25
IN,8/20/2020,17,17,827,501,15,3
KS,8/20/2020,20,26,274,196,4,2
KY,8/20/2020,1,3,596,441,15,3
LA,8/20/2020,40,46,985,"1,417",22,6
MA,8/20/2020,5,5,264,130,8,2
MD,8/20/2020,7,5,851,442,10,2
ME,8/20/2020,3,4,25,9,0,0
MI,8/20/2020,4,7,648,430,11,7
MN,8/20/2020,8,10,433,260,12,5
MO,8/20/2020,22,31,895,689,30,10
MS,8/20/2020,31,39,812,749,4,2
MT,8/20/2020,6,7,66,65,0,0
NC,8/20/2020,2,13,"1,332",946,21,7
ND,8/20/2020,11,13,98,76,3,1
NE,8/20/2020,12,15,112,92,66,52
NH,8/20/2020,4,4,45,15,0,0
NJ,8/20/2020,10,10,190,257,0,0
NM,8/20/2020,12,10,107,73,6,1
NV,8/20/2020,7,11,865,728,3,0
NY,8/20/2020,7,6,"1,461",528,67,18
OH,8/20/2020,9,11,"1,560",892,13,6
OK,8/20/2020,19,26,594,535,9,7
OR,8/20/2020,3,4,165,101,8,4
PA,8/20/2020,20,23,"1,044",573,67,46
PR,8/20/2020,6,6,373,255,28,3
RI,8/20/2020,2,2,77,77,3,1
SC,8/20/2020,43,47,"1,067",920,11,6
SD,8/20/2020,6,8,52,48,11,11
TN,8/20/2020,25,24,"1,195","1,040",20,10
TX,8/20/2020,114,131,"6,833","5,713",97,68
UT,8/20/2020,6,7,143,124,7,7
VA,8/20/2020,11,12,960,658,7,4
VI,8/20/2020,1,1,14,14,0,0
VT,8/20/2020,1,1,7,2,1,0
WA,8/20/2020,17,18,321,248,5,4
WI,8/20/2020,9,7,611,401,2,1
WV,8/20/2020,10,9,235,158,2,0
WY,8/20/2020,3,3,34,19,0,0
AK,8/19/2020,2,2,48,37,2,2
AL,8/19/2020,29,34,"1,439","1,230",16,7
AR,8/19/2020,25,25,696,452,17,3
AZ,8/19/2020,23,25,"1,113",876,13,10
CA,8/19/2020,84,102,"6,609","5,258",119,59
CO,8/19/2020,3,6,246,147,19,4
CT,8/19/2020,0,0,169,48,2,1
DC,8/19/2020,3,2,122,91,15,7
DE,8/19/2020,1,1,68,46,0,0
FL,8/19/2020,12,12,"6,161","5,702",785,60
GA,8/19/2020,41,43,"2,200","1,768",98,31
HI,8/19/2020,2,3,202,182,2,0
IA,8/19/2020,5,6,337,297,4,4
ID,8/19/2020,6,6,190,174,2,1
IL,8/19/2020,16,21,"1,544",823,58,26
IN,8/19/2020,19,19,880,516,16,3
KS,8/19/2020,20,25,285,211,4,4
KY,8/19/2020,1,3,643,457,17,3
LA,8/19/2020,41,47,"1,072","1,448",22,6
MA,8/19/2020,5,5,339,153,9,3
MD,8/19/2020,6,5,852,465,10,2
ME,8/19/2020,2,3,56,16,1,1
MI,8/19/2020,5,7,655,438,16,9
MN,8/19/2020,9,10,433,262,20,9
MO,8/19/2020,23,30,896,693,29,11
MS,8/19/2020,28,38,816,770,1,1
MT,8/19/2020,7,9,70,66,1,1
NC,8/19/2020,3,13,"1,290",907,18,7
ND,8/19/2020,11,12,39,33,52,40
NE,8/19/2020,10,14,134,109,57,52
NH,8/19/2020,5,5,47,12,0,0
NJ,8/19/2020,9,9,186,246,0,0
NM,8/19/2020,12,11,128,82,7,1
NV,8/19/2020,5,10,934,749,4,1
NY,8/19/2020,7,6,"1,593",569,74,20
OH,8/19/2020,9,11,"1,548",900,24,7
OK,8/19/2020,16,26,600,530,7,6
OR,8/19/2020,2,4,180,102,11,5
PA,8/19/2020,20,23,"1,048",584,30,5
PR,8/19/2020,6,6,347,274,23,1
RI,8/19/2020,3,3,86,83,0,0
SC,8/19/2020,43,47,"1,109",951,8,6
SD,8/19/2020,4,7,37,32,31,26
TN,8/19/2020,23,21,"1,225","1,065",17,10
TX,8/19/2020,109,126,"6,877","5,810",111,65
UT,8/19/2020,5,7,156,136,7,7
VA,8/19/2020,11,12,"1,011",682,10,3
VI,8/19/2020,1,1,19,19,1,0
VT,8/19/2020,1,1,9,2,0,0
WA,8/19/2020,12,18,339,248,2,1
WI,8/19/2020,12,7,662,414,3,2
WV,8/19/2020,9,10,219,149,2,0
WY,8/19/2020,3,4,30,18,0,0
AK,8/18/2020,2,2,51,40,3,2
AL,8/18/2020,32,37,"1,531","1,294",27,9
AR,8/18/2020,24,26,684,439,4,1
AZ,8/18/2020,24,26,"1,144",917,14,9
CA,8/18/2020,80,94,"6,716","5,292",102,54
CO,8/18/2020,4,6,228,151,23,2
CT,8/18/2020,0,0,128,50,1,0
DC,8/18/2020,3,2,131,94,13,7
DE,8/18/2020,0,0,66,38,0,0
FL,8/18/2020,8,9,"6,349","5,894",821,73
GA,8/18/2020,42,42,"2,203","1,798",106,35
HI,8/18/2020,2,3,214,188,3,0
IA,8/18/2020,5,5,357,297,9,2
ID,8/18/2020,6,6,189,175,1,1
IL,8/18/2020,17,19,"1,617",830,57,25
IN,8/18/2020,20,19,808,531,15,4
KS,8/18/2020,18,24,264,196,12,12
KY,8/18/2020,1,3,644,466,13,2
LA,8/18/2020,41,47,978,"1,439",28,6
MA,8/18/2020,5,5,319,145,7,3
MD,8/18/2020,5,5,836,478,8,3
ME,8/18/2020,2,3,33,10,2,2
MI,8/18/2020,3,8,667,439,16,10
MN,8/18/2020,9,10,470,265,19,7
MO,8/18/2020,23,30,881,681,22,7
MS,8/18/2020,32,39,862,797,1,0
MT,8/18/2020,7,10,74,70,1,1
NC,8/18/2020,3,13,"1,376",922,24,9
ND,8/18/2020,10,12,92,77,1,1
NE,8/18/2020,9,13,120,100,70,57
NH,8/18/2020,4,4,44,12,0,0
NJ,8/18/2020,9,9,190,285,0,0
NM,8/18/2020,11,10,109,83,4,1
NV,8/18/2020,7,10,897,730,4,1
NY,8/18/2020,9,7,"1,593",586,93,17
OH,8/18/2020,8,10,"1,647",947,31,7
OK,8/18/2020,17,25,596,530,10,9
OR,8/18/2020,3,4,191,110,11,6
PA,8/18/2020,25,26,"1,043",587,46,8
PR,8/18/2020,8,8,375,295,26,4
RI,8/18/2020,2,2,84,81,2,1
SC,8/18/2020,43,47,"1,158",983,8,8
SD,8/18/2020,5,7,62,55,10,10
TN,8/18/2020,22,19,"1,242","1,081",21,12
TX,8/18/2020,112,122,"7,268","6,110",95,62
UT,8/18/2020,5,7,150,127,7,7
VA,8/18/2020,11,12,975,689,13,5
VI,8/18/2020,1,1,21,21,1,0
VT,8/18/2020,1,1,10,2,1,0
WA,8/18/2020,10,19,351,253,3,2
WI,8/18/2020,10,7,660,428,4,1
WV,8/18/2020,9,10,209,142,1,0
WY,8/18/2020,3,4,24,15,0,0
AK,8/17/2020,1,1,43,37,3,2
AL,8/17/2020,28,36,"1,508","1,303",26,15
AR,8/17/2020,26,28,721,448,4,2
AZ,8/17/2020,25,27,"1,161",911,13,9
CA,8/17/2020,88,101,"6,697","5,296",109,63
CO,8/17/2020,2,5,242,161,19,1
CT,8/17/2020,0,0,124,48,2,0
DC,8/17/2020,2,1,130,87,14,7
DE,8/17/2020,1,1,61,37,0,0
FL,8/17/2020,10,10,"6,535","5,983",854,63
GA,8/17/2020,42,42,"2,199","1,757",87,32
HI,8/17/2020,2,2,196,179,5,0
IA,8/17/2020,5,6,334,282,3,2
ID,8/17/2020,7,7,203,176,2,1
IL,8/17/2020,15,19,"1,534",797,71,21
IN,8/17/2020,19,16,835,539,13,4
KS,8/17/2020,18,24,323,197,7,6
KY,8/17/2020,1,3,624,429,15,8
LA,8/17/2020,40,46,992,"1,472",24,5
MA,8/17/2020,5,5,330,154,10,2
MD,8/17/2020,5,5,830,469,21,2
ME,8/17/2020,2,3,33,14,1,1
MI,8/17/2020,4,7,673,447,11,6
MN,8/17/2020,9,10,448,253,14,6
MO,8/17/2020,22,33,861,657,22,6
MS,8/17/2020,32,40,922,841,2,1
