state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
WI,4/2/2021,8,12,298,272,7,3
WV,4/2/2021,14,16,295,266,6,3
WY,4/2/2021,4,5,27,20,0,0
AK,4/1/2021,1,1,45,40,0,0
AL,4/1/2021,27,29,447,357,9,8
AR,4/1/2021,13,15,191,137,9,2
AZ,4/1/2021,26,26,577,360,19,12
CA,4/1/2021,69,81,"2,487","2,156",51,40
CO,4/1/2021,4,6,392,344,23,9
CT,4/1/2021,4,4,552,502,7,5
DC,4/1/2021,0,0,168,133,23,9
DE,4/1/2021,1,1,150,129,5,3
FL,4/1/2021,10,30,"3,267","2,917",40,28
GA,4/1/2021,30,37,"1,269","1,132",36,10
HI,4/1/2021,1,2,45,36,0,0
IA,4/1/2021,1,2,210,202,4,2
ID,4/1/2021,3,4,161,148,0,0
IL,4/1/2021,9,10,"1,462","1,240",35,17
IN,4/1/2021,11,12,720,517,22,8
KS,4/1/2021,11,12,181,146,3,2
KY,4/1/2021,1,4,409,353,15,4
LA,4/1/2021,42,46,311,380,3,2
MA,4/1/2021,10,9,643,560,19,6
MD,4/1/2021,2,2,"1,302","1,039",14,5
ME,4/1/2021,3,1,99,77,2,1
MI,4/1/2021,3,3,"2,706","2,559",34,26
MN,4/1/2021,16,16,519,436,11,8
MO,4/1/2021,22,24,736,474,43,14
MS,4/1/2021,9,12,242,192,9,6
MT,4/1/2021,6,8,53,48,4,0
NC,4/1/2021,2,3,999,919,22,16
ND,4/1/2021,11,11,78,47,2,0
NE,4/1/2021,9,16,136,121,4,3
NH,4/1/2021,4,5,93,84,0,0
NJ,4/1/2021,7,7,"2,379","2,197",28,6
NM,4/1/2021,16,16,108,95,7,1
NV,4/1/2021,0,0,307,257,4,7
NY,4/1/2021,4,4,"5,237","4,754",115,55
OH,4/1/2021,10,15,"1,452","1,023",97,20
OK,4/1/2021,30,34,270,230,36,29
OR,4/1/2021,2,4,217,150,8,5
PA,4/1/2021,18,25,"2,540","2,200",53,30
PR,4/1/2021,0,0,225,201,15,2
RI,4/1/2021,3,3,165,132,3,3
SC,4/1/2021,21,21,488,459,5,2
SD,4/1/2021,1,1,100,69,3,1
TN,4/1/2021,12,31,849,746,15,12
TX,4/1/2021,103,123,"3,346","2,849",90,55
UT,4/1/2021,0,0,138,131,4,0
VA,4/1/2021,16,21,"1,034",848,21,12
VI,4/1/2021,1,1,5,5,0,0
VT,4/1/2021,1,1,32,32,0,0
WA,4/1/2021,12,10,439,371,6,4
WI,4/1/2021,10,13,292,262,6,3
WV,4/1/2021,14,15,274,253,7,3
WY,4/1/2021,4,5,30,22,0,0
AK,3/31/2021,2,2,36,35,0,0
AL,3/31/2021,28,30,477,381,9,9
AR,3/31/2021,17,22,181,132,16,2
AZ,3/31/2021,26,28,596,371,19,11
CA,3/31/2021,69,84,"2,572","2,217",51,38
CO,3/31/2021,6,5,396,347,23,9
CT,3/31/2021,4,4,546,497,13,6
DC,3/31/2021,0,0,169,139,28,8
DE,3/31/2021,1,1,143,130,7,6
FL,3/31/2021,11,28,"3,285","2,970",43,34
GA,3/31/2021,30,36,"1,285","1,141",42,13
HI,3/31/2021,1,2,49,36,1,0
IA,3/31/2021,2,2,206,193,9,1
ID,3/31/2021,3,4,157,147,0,0
IL,3/31/2021,9,10,"1,484","1,236",32,14
IN,3/31/2021,11,11,683,485,23,7
KS,3/31/2021,12,14,184,144,3,2
KY,3/31/2021,1,3,427,359,11,4
LA,3/31/2021,42,46,327,395,4,2
MA,3/31/2021,10,9,622,551,18,4
MD,3/31/2021,2,1,"1,280","1,023",19,7
ME,3/31/2021,2,2,100,79,3,2
MI,3/31/2021,3,3,"2,569","2,424",25,18
MN,3/31/2021,15,15,538,434,9,7
MO,3/31/2021,22,27,719,469,45,16
MS,3/31/2021,8,12,253,195,10,6
MT,3/31/2021,7,7,49,46,1,1
NC,3/31/2021,3,5,"1,003",921,28,17
ND,3/31/2021,12,12,73,47,3,0
NE,3/31/2021,9,16,131,114,8,6
NH,3/31/2021,5,5,92,77,0,0
NJ,3/31/2021,7,10,"2,368","2,184",40,16
NM,3/31/2021,17,17,103,96,8,2
NV,3/31/2021,0,0,263,240,3,5
NY,3/31/2021,4,5,"5,409","4,833",115,53
OH,3/31/2021,8,13,"1,353",984,98,24
OK,3/31/2021,31,36,291,246,31,27
OR,3/31/2021,4,5,201,143,9,5
PA,3/31/2021,19,24,"2,544","2,143",55,33
PR,3/31/2021,7,7,221,191,17,5
RI,3/31/2021,3,3,165,132,3,3
SC,3/31/2021,22,22,471,439,5,2
SD,3/31/2021,1,1,94,66,4,1
TN,3/31/2021,17,35,886,788,17,13
TX,3/31/2021,104,122,"3,432","2,866",91,60
UT,3/31/2021,0,0,136,128,6,0
VA,3/31/2021,16,23,"1,007",861,22,12
VI,3/31/2021,2,2,6,6,0,0
VT,3/31/2021,2,1,32,31,0,0
