state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,state,date,critical_staffing_shortage_today_yes_wkLtr,critical_staffing_shortage_anticipated_within_week_yes
CA,3/28/2021,73,87,45,54,2269,2584,CA,4/4/2021,75,85
CO,3/28/2021,7,6,6,20,355,402,CO,4/4/2021,6,6
CT,3/28/2021,4,4,6,14,512,549,CT,4/4/2021,4,4
DC,3/28/2021,0,0,11,30,135,160,DC,4/4/2021,0,0
DE,3/28/2021,0,0,4,7,126,141,DE,4/4/2021,1,1
FL,3/28/2021,10,27,29,37,2903,3245,FL,4/4/2021,10,30
GA,3/28/2021,29,34,12,56,1125,1273,GA,4/4/2021,28,35
HI,3/28/2021,1,1,0,1,40,51,HI,4/4/2021,1,1
IA,3/28/2021,1,1,4,4,192,203,IA,4/4/2021,2,2
ID,3/28/2021,4,4,0,2,161,168,ID,4/4/2021,4,4
IL,3/28/2021,12,15,11,35,1177,1383,IL,4/4/2021,10,11
IN,3/28/2021,9,11,6,15,431,649,IN,4/4/2021,11,11
KS,3/28/2021,11,14,1,2,147,181,KS,4/4/2021,11,15
KY,3/28/2021,1,4,2,11,333,384,KY,4/4/2021,0,3
LA,3/28/2021,43,47,3,5,405,329,LA,4/4/2021,41,46
MA,3/28/2021,10,9,7,27,552,641,MA,4/4/2021,10,9
MD,3/28/2021,2,2,4,11,997,1296,MD,4/4/2021,3,3
ME,3/28/2021,1,2,1,1,78,97,ME,4/4/2021,1,2
MI,3/28/2021,2,3,14,26,1960,2096,MI,4/4/2021,4,3
MN,3/28/2021,16,16,7,9,341,410,MN,4/4/2021,15,15
MO,3/28/2021,22,26,15,39,507,749,MO,4/4/2021,22,25
MS,3/28/2021,9,12,5,7,233,285,MS,4/4/2021,8,12
MT,3/28/2021,6,6,1,2,44,46,MT,4/4/2021,6,6
NC,3/28/2021,2,3,13,17,826,896,NC,4/4/2021,3,4
ND,3/28/2021,12,12,0,2,36,63,ND,4/4/2021,12,12
NE,3/28/2021,8,16,3,3,98,116,NE,4/4/2021,10,15
NH,3/28/2021,4,4,0,0,70,82,NH,4/4/2021,3,5
NJ,3/28/2021,8,10,5,29,2114,2297,NJ,4/4/2021,7,8
NM,3/28/2021,15,15,5,8,111,114,NM,4/4/2021,16,17
NV,3/28/2021,0,0,2,4,225,266,NV,4/4/2021,0,0
NY,3/28/2021,4,5,41,99,4789,5289,NY,4/4/2021,4,6
