critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
18,19,404,338,12,11
21,25,800,503,46,13
9,11,311,255,19,9
6,6,47,47,2,2
3,3,956,878,24,18
11,11,62,34,0,0
8,18,131,115,6,3
4,5,93,77,0,0
8,10,2228,2039,26,3
14,14,116,113,6,4
0,0,286,247,2,1
5,5,5370,4827,110,55
12,16,1356,912,104,27
28,33,325,290,32,24
4,4,166,123,6,3
20,24,2144,1720,48,25
7,7,162,125,22,4
4,4,149,115,1,1
21,21,526,481,13,12
1,2,72,49,2,1
17,37,873,787,15,11
0,0,143,132,8,0
16,24,1014,804,19,10
2,2,4,4,0,0
1,1,23,23,0,0
4,5,383,313,16,11
8,14,295,277,5,1
13,14,262,232,2,1
3,4,27,15,1,1
1,1,37,36,0,0
26,29,480,398,7,4
14,18,206,149,6,0
26,27,588,388,14,10
65,81,2921,2519,47,36
5,4,378,323,5,0
4,4,471,423,5,3
0,0,170,146,28,9
1,1,116,102,3,3
7,25,3326,2968,48,40
29,35,1354,1174,32,13
1,2,41,32,0,0
2,1,193,187,6,3
2,3,143,137,2,1
7,9,1247,1009,39,17
9,10,588,373,11,3
10,11,187,166,2,1
1,6,443,384,9,2
42,46,383,451,7,5
7,6,554,486,28,4
2,2,1196,909,12,7
2,2,94,81,0,0
4,3,1676,1555,33,22
18,18,403,325,12,9
21,24,797,511,40,15
9,11,324,261,12,8
5,7,53,52,2,2
3,3,988,895,19,16
9,9,71,43,0,0
8,17,127,112,6,3
5,5,89,71,3,0
7,9,2170,2016,27,7
14,14,117,107,10,5
0,0,297,249,4,2
6,6,5420,4803,110,60
9,15,1196,868,94,22
29,33,338,284,30,27
3,3,173,128,9,4
20,24,1980,1653,33,20
0,0,128,95,20,6
4,4,146,110,1,1
20,20,514,481,9,8
1,1,63,46,3,1
16,35,873,775,17,11
0,0,134,122,6,0
16,24,960,787,18,7
2,2,4,4,0,0
1,1,27,27,0,0
4,5,404,319,28,10
9,15,276,251,9,2
14,15,234,216,5,1
3,4,33,21,1,1
1,1,39,37,1,0
26,29,451,374,18,8
11,13,187,152,8,0
26,26,598,385,9,9
6,4,381,337,9,2
4,4,465,416,5,2
0,0,174,151,27,8
1,1,122,108,4,3
7,24,3231,2932,41,37
30,36,1334,1176,33,13
1,2,41,30,0,0
1,1,194,182,3,3
2,2,147,132,2,2
11,11,1264,1028,35,16
9,11,580,379,14,4
9,10,181,155,3,0
0,3,441,388,12,2
42,46,380,444,12,5
7,6,538,463,32,5
2,2,1185,898,16,10
3,2,87,77,0,0
3,3,1586,1436,28,21
18,18,388,321,9,7
22,23,750,496,42,17
9,11,334,261,10,8
7,7,42,41,3,2
2,2,934,870,21,16
10,10,77,42,0,0
7,16,120,113,7,5
3,4,83,64,1,1
7,10,2101,1975,21,2
15,15,137,122,10,6
0,0,302,266,4,3
6,6,5410,4814,99,50
9,16,1152,859,121,28
29,34,331,286,34,30
3,3,165,122,6,2
21,26,1995,1678,32,19
0,0,126,92,15,5
4,4,163,127,1,1
21,21,503,469,3,3
1,1,62,43,3,1
16,35,818,739,15,10
0,0,139,130,7,0
17,24,1017,830,18,8
2,2,4,4,0,0
1,1,24,24,0,0
4,3,359,265,12,8
10,16,281,237,7,1
14,15,216,202,1,1
3,4,17,10,1,1
1,1,44,40,1,0
25,29,534,397,10,11
14,18,229,179,7,2
24,26,652,417,11,5
5,4,395,327,12,4
4,4,449,399,4,2
0,0,163,138,20,4
2,2,119,105,6,5
10,27,3267,2928,37,34
29,35,1318,1153,32,13
1,1,38,26,0,0
1,1,186,169,4,2
3,3,149,132,2,2
11,10,1216,981,35,16
9,11,538,362,11,7
11,13,193,163,4,0
1,4,465,404,7,3
41,46,376,437,10,6
10,9,562,487,27,20
3,3,1124,898,13,9
2,4,94,73,1,0
2,3,1451,1318,27,21
19,19,384,318,8,4
21,24,744,508,41,18
8,10,325,260,7,4
6,7,43,43,1,0
3,3,939,856,25,19
11,11,74,42,1,1
8,15,123,114,3,2
3,4,84,69,2,1
9,11,2075,1902,36,17
13,14,132,125,9,3
0,0,331,271,2,0
6,6,5168,4628,135,52
10,17,1142,844,73,27
28,33,328,280,35,30
4,3,169,122,7,1
18,23,1892,1593,36,21
0,0,127,93,11,2
4,4,161,127,1,1
23,24,530,469,6,4
1,2,58,43,3,1
16,35,814,727,14,9
0,0,159,138,7,0
16,22,1048,832,13,5
